stage=T1_measured_founding  step=720  global_step=720  loss=0.9961  lr=0.0005726  wall_s=7061  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.513  real_bold_nll=51.97  bold_log_scale=5.49  bold_parcels_covered=400
stage=T1_measured_founding  step=740  global_step=740  loss=0.9825  lr=0.0005705  wall_s=7257  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.486  real_bold_nll=85.14  bold_log_scale=5.615  bold_parcels_covered=400
stage=T1_measured_founding  step=760  global_step=760  loss=0.9404  lr=0.0005683  wall_s=7474  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.426  real_bold_nll=96.68  bold_log_scale=5.562  bold_parcels_covered=400
stage=T1_measured_founding  step=780  global_step=780  loss=0.9866  lr=0.0005661  wall_s=7673  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.466  real_bold_nll=54.62  bold_log_scale=5.367  bold_parcels_covered=400
stage=T1_measured_founding  step=800  global_step=800  loss=0.986  lr=0.0005637  wall_s=7872  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.425  real_bold_nll=137.9  bold_log_scale=5.572  bold_parcels_covered=400
stage=T1_measured_founding  step=820  global_step=820  loss=1.033  lr=0.0005613  wall_s=8093  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.578  real_bold_nll=135.5  bold_log_scale=5.619  bold_parcels_covered=400
stage=T1_measured_founding  step=840  global_step=840  loss=0.9733  lr=0.0005589  wall_s=8320  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.54  real_bold_nll=163.6  bold_log_scale=5.844  bold_parcels_covered=399
stage=T1_measured_founding  step=860  global_step=860  loss=0.9595  lr=0.0005563  wall_s=8520  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.62  real_bold_nll=127.7  bold_log_scale=5.55  bold_parcels_covered=400
stage=T1_measured_founding  step=880  global_step=880  loss=0.9208  lr=0.0005537  wall_s=8724  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.418  real_bold_nll=102.3  bold_log_scale=5.265  bold_parcels_covered=400
stage=T1_measured_founding  step=900  global_step=900  loss=0.9303  lr=0.000551  wall_s=8948  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.457  real_bold_nll=136.1  bold_log_scale=5.574  bold_parcels_covered=400
stage=T1_measured_founding  step=920  global_step=920  loss=1.011  lr=0.0005483  wall_s=9176  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.583  real_bold_nll=83.47  bold_log_scale=5.324  bold_parcels_covered=400
stage=T1_measured_founding  step=940  global_step=940  loss=0.9504  lr=0.0005454  wall_s=9375  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.469  real_bold_nll=187.8  bold_log_scale=5.777  bold_parcels_covered=400
stage=T1_measured_founding  step=960  global_step=960  loss=0.9976  lr=0.0005426  wall_s=9580  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.48  real_bold_nll=156.9  bold_log_scale=5.621  bold_parcels_covered=397
stage=T1_measured_founding  step=980  global_step=980  loss=1.002  lr=0.0005396  wall_s=9783  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.467  real_bold_nll=243.9  bold_log_scale=5.754  bold_parcels_covered=397
stage=T1_measured_founding  step=1000  global_step=1000  loss=0.9778  lr=0.0005366  wall_s=9986  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.519  real_bold_nll=104.5  bold_log_scale=5.495  bold_parcels_covered=400
stage=T1_measured_founding  step=1020  global_step=1020  loss=0.9643  lr=0.0005335  wall_s=1.021e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.495  real_bold_nll=102.9  bold_log_scale=5.306  bold_parcels_covered=400
stage=T1_measured_founding  step=1040  global_step=1040  loss=0.979  lr=0.0005304  wall_s=1.041e+04  traj_s_per_s=0.4  gpu_reserved_gb=50.53  eegmmidb_real_eeg_nll=1.476  real_bold_nll=192.8  bold_log_scale=5.561  bold_parcels_covered=399
