[mem] CUDA reserve capped at 72.0 GB (fraction=0.592 of 121.6 GB unified pool)
{
  "parameters": {
    "coupling": 3,
    "msg_proj": 36,
    "msg_readin": 1872,
    "context": 17792,
    "family_local": 1814447,
    "family_residual": 365639,
    "family_readout": 26946,
    "assimilate": 234587,
    "observation": 2073,
    "eeg": 27481,
    "bold": 3312,
    "behaviour": 22342,
    "TOTAL": 2516530
  },
  "posterior": 1679840
}
[leakage] R10 audit PASSED  backend=grouped_splitter  participants train/val/test=44/11/54 of 109
[leakage] GroupedSplitter cross-check ok=True
[leakage] cross-check warning: all records come from one site: this split cannot falsify a site/device shortcut (Appendix D 'Site/device shortcuts')
real EEG: 290673 windows, train/val/test = 117639/29274/143760
[noise-floor init] log_noise +0.0000 -> +0.7541  (variance 1.0000 -> 2.6282, realised 4.2577)

=== Stage T1_measured_founding: 2966 steps, lr=0.000346 ===
stage=T1_measured_founding  step=1140  global_step=1140  loss=0.7402  lr=0.0002451  wall_s=2120  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.4194  npe_loss=8.083  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1160  global_step=1160  loss=1.29  lr=0.0002416  wall_s=2159  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.8451  npe_loss=8.275  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1180  global_step=1180  loss=0.9898  lr=0.0002381  wall_s=2196  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.6177  npe_loss=8.24  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1200  global_step=1200  loss=1.319  lr=0.0002346  wall_s=2233  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.8989  npe_loss=8.071  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1220  global_step=1220  loss=1.134  lr=0.000231  wall_s=2271  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.74  npe_loss=8.066  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1240  global_step=1240  loss=0.8381  lr=0.0002274  wall_s=2309  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.5104  npe_loss=7.821  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1260  global_step=1260  loss=0.6029  lr=0.0002238  wall_s=2347  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.3257  npe_loss=7.862  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1280  global_step=1280  loss=1.316  lr=0.0002202  wall_s=2386  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.8099  npe_loss=8.371  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1300  global_step=1300  loss=1.106  lr=0.0002165  wall_s=2427  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.6898  npe_loss=8.169  npe_rejected=0  npe_seen_max=28.92
stage=T1_measured_founding  step=1320  global_step=1320  loss=1.239  lr=0.0002128  wall_s=2466  traj_s_per_s=13.2  gpu_reserved_gb=37.11  sim_forecast_nll=0.7887  npe_loss=7.901  npe_rejected=0  npe_seen_max=28.92
