[mem] CUDA reserve capped at 72.0 GB (fraction=0.592 of 121.6 GB unified pool)
{
  "parameters": {
    "coupling": 3,
    "msg_proj": 36,
    "msg_readin": 1872,
    "context": 17792,
    "family_local": 1814447,
    "family_residual": 365639,
    "family_readout": 26946,
    "assimilate": 234587,
    "observation": 2073,
    "eeg": 27481,
    "bold": 3312,
    "behaviour": 22342,
    "TOTAL": 2516530
  },
  "posterior": 1679840
}
[leakage] R10 audit PASSED  backend=grouped_splitter  participants train/val/test=44/11/54 of 109
[leakage] GroupedSplitter cross-check ok=True
[leakage] cross-check warning: all records come from one site: this split cannot falsify a site/device shortcut (Appendix D 'Site/device shortcuts')
real EEG: 290673 windows, train/val/test = 117639/29274/143760
[noise-floor init] log_noise +0.0000 -> +0.7541  (variance 1.0000 -> 2.6282, realised 4.2577)

=== Stage T1_measured_founding: 2966 steps, lr=0.000346 ===
stage=T1_measured_founding  step=900  global_step=900  loss=1.336  lr=0.0002835  wall_s=1609  traj_s_per_s=13.7  gpu_reserved_gb=37.11  sim_forecast_nll=0.8624  npe_loss=4136  npe_rejected=20  npe_seen_max=1.736e+05
stage=T1_measured_founding  step=920  global_step=920  loss=0.8269  lr=0.0002805  wall_s=1644  traj_s_per_s=13.7  gpu_reserved_gb=37.11  sim_forecast_nll=0.5031  npe_loss=5275  npe_rejected=40  npe_seen_max=2.686e+06
stage=T1_measured_founding  step=940  global_step=940  loss=1.307  lr=0.0002775  wall_s=1680  traj_s_per_s=13.8  gpu_reserved_gb=37.11  sim_forecast_nll=0.9795  npe_loss=4413  npe_rejected=60  npe_seen_max=2.263e+08
stage=T1_measured_founding  step=960  global_step=960  loss=0.4316  lr=0.0002745  wall_s=1715  traj_s_per_s=13.8  gpu_reserved_gb=37.11  sim_forecast_nll=0.4095  npe_loss=9628  npe_rejected=80  npe_seen_max=3.658e+08
stage=T1_measured_founding  step=980  global_step=980  loss=1.196  lr=0.0002714  wall_s=1751  traj_s_per_s=13.8  gpu_reserved_gb=37.11  sim_forecast_nll=0.8229  npe_loss=0  npe_rejected=100  npe_seen_max=1.632e+09
stage=T1_measured_founding  step=1000  global_step=1000  loss=1.28  lr=0.0002683  wall_s=1786  traj_s_per_s=13.8  gpu_reserved_gb=37.11  sim_forecast_nll=0.5773  npe_loss=4524  npe_rejected=120  npe_seen_max=2.373e+09
stage=T1_measured_founding  step=1020  global_step=1020  loss=0.2903  lr=0.0002651  wall_s=1821  traj_s_per_s=13.8  gpu_reserved_gb=37.11  sim_forecast_nll=0.5245  npe_loss=8985  npe_rejected=140  npe_seen_max=2.373e+09
stage=T1_measured_founding  step=1040  global_step=1040  loss=1.49  lr=0.0002618  wall_s=1855  traj_s_per_s=13.8  gpu_reserved_gb=37.11  sim_forecast_nll=0.6984  npe_loss=0  npe_rejected=160  npe_seen_max=2.373e+09
stage=T1_measured_founding  step=1060  global_step=1060  loss=0.6366  lr=0.0002586  wall_s=1890  traj_s_per_s=13.8  gpu_reserved_gb=37.11  sim_forecast_nll=0.5583  npe_loss=0  npe_rejected=180  npe_seen_max=2.373e+09
stage=T1_measured_founding  step=1080  global_step=1080  loss=0.01701  lr=0.0002553  wall_s=1926  traj_s_per_s=13.8  gpu_reserved_gb=37.11  sim_forecast_nll=0.4843  npe_loss=0  npe_rejected=200  npe_seen_max=2.648e+09
stage=T1_measured_founding  step=1100  global_step=1100  loss=1.563  lr=0.0002519  wall_s=1961  traj_s_per_s=13.8  gpu_reserved_gb=37.11  sim_forecast_nll=0.6959  npe_loss=6314  npe_rejected=220  npe_seen_max=2.648e+09
stage=T1_measured_founding  step=1120  global_step=1120  loss=1.233  lr=0.0002485  wall_s=2023  traj_s_per_s=13.6  gpu_reserved_gb=37.11  sim_forecast_nll=0.6286  npe_loss=3936  npe_rejected=240  npe_seen_max=2.648e+09
stage=T1_measured_founding  step=1140  global_step=1140  loss=-0.3798  lr=0.0002451  wall_s=2090  traj_s_per_s=13.4  gpu_reserved_gb=37.11  sim_forecast_nll=0.4295  npe_loss=3171  npe_rejected=260  npe_seen_max=2.648e+09
stage=T1_measured_founding  step=1160  global_step=1160  loss=2.167  lr=0.0002416  wall_s=2151  traj_s_per_s=13.3  gpu_reserved_gb=37.11  sim_forecast_nll=0.846  npe_loss=0  npe_rejected=280  npe_seen_max=3.344e+09
stage=T1_measured_founding  step=1180  global_step=1180  loss=0.9091  lr=0.0002381  wall_s=2221  traj_s_per_s=13.1  gpu_reserved_gb=37.11  sim_forecast_nll=0.6213  npe_loss=0  npe_rejected=300  npe_seen_max=6.943e+09
stage=T1_measured_founding  step=1200  global_step=1200  loss=2.311  lr=0.0002346  wall_s=2290  traj_s_per_s=12.9  gpu_reserved_gb=37.11  sim_forecast_nll=0.8994  npe_loss=4581  npe_rejected=320  npe_seen_max=6.943e+09
